regional_fuel_market,period,tier,unit_cost,max_avail_at_cost
Anhui,2023,0,4.951849666,1570435397.0
Anhui,2028,0,4.951849666,1570435397.0
Anhui,2033,0,4.951849666,1570435397.0
Anhui,2038,0,4.951849666,1570435397.0
Anhui,2043,0,4.951849666,1570435397.0
Anhui,2048,0,4.951849666,1570435397.0
Anhui,2053,0,4.951849666,1570435397.0
Anhui,2058,0,4.951849666,1570435397.0
Beijing,2023,0,5.706918941,127802312.8
Beijing,2028,0,5.706918941,127802312.8
Beijing,2033,0,5.706918941,127802312.8
Beijing,2038,0,5.706918941,127802312.8
Beijing,2043,0,5.706918941,127802312.8
Beijing,2048,0,5.706918941,127802312.8
Beijing,2053,0,5.706918941,127802312.8
Beijing,2058,0,5.706918941,127802312.8
Chongqing,2023,0,4.934289915,669468754.5
Chongqing,2028,0,4.934289915,669468754.5
Chongqing,2033,0,4.934289915,669468754.5
Chongqing,2038,0,4.934289915,669468754.5
Chongqing,2043,0,4.934289915,669468754.5
Chongqing,2048,0,4.934289915,669468754.5
Chongqing,2053,0,4.934289915,669468754.5
Chongqing,2058,0,4.934289915,669468754.5
East_Inner_Mongolia,2023,0,5.013308793,823083374.4
East_Inner_Mongolia,2028,0,5.013308793,823083374.4
East_Inner_Mongolia,2033,0,5.013308793,823083374.4
East_Inner_Mongolia,2038,0,5.013308793,823083374.4
East_Inner_Mongolia,2043,0,5.013308793,823083374.4
East_Inner_Mongolia,2048,0,5.013308793,823083374.4
East_Inner_Mongolia,2053,0,5.013308793,823083374.4
East_Inner_Mongolia,2058,0,5.013308793,823083374.4
Fujian,2023,0,5.285484927,1127881524.0
Fujian,2028,0,5.285484927,1127881524.0
Fujian,2033,0,5.285484927,1127881524.0
Fujian,2038,0,5.285484927,1127881524.0
Fujian,2043,0,5.285484927,1127881524.0
Fujian,2048,0,5.285484927,1127881524.0
Fujian,2053,0,5.285484927,1127881524.0
Fujian,2058,0,5.285484927,1127881524.0
Gansu,2023,0,4.758692409,920278870.1
Gansu,2028,0,4.758692409,920278870.1
Gansu,2033,0,4.758692409,920278870.1
Gansu,2038,0,4.758692409,920278870.1
Gansu,2043,0,4.758692409,920278870.1
Gansu,2048,0,4.758692409,920278870.1
Gansu,2053,0,4.758692409,920278870.1
Gansu,2058,0,4.758692409,920278870.1
Guangdong,2023,0,5.390843431,1192234100.0
Guangdong,2028,0,5.390843431,1192234100.0
Guangdong,2033,0,5.390843431,1192234100.0
Guangdong,2038,0,5.390843431,1192234100.0
Guangdong,2043,0,5.390843431,1192234100.0
Guangdong,2048,0,5.390843431,1192234100.0
Guangdong,2053,0,5.390843431,1192234100.0
Guangdong,2058,0,5.390843431,1192234100.0
Guangxi,2023,0,4.907950289,2470279886.0
Guangxi,2028,0,4.907950289,2470279886.0
Guangxi,2033,0,4.907950289,2470279886.0
Guangxi,2038,0,4.907950289,2470279886.0
Guangxi,2043,0,4.907950289,2470279886.0
Guangxi,2048,0,4.907950289,2470279886.0
Guangxi,2053,0,4.907950289,2470279886.0
Guangxi,2058,0,4.907950289,2470279886.0
Guizhou,2023,0,4.741132659,1867499981.0
Guizhou,2028,0,4.741132659,1867499981.0
Guizhou,2033,0,4.741132659,1867499981.0
Guizhou,2038,0,4.741132659,1867499981.0
Guizhou,2043,0,4.741132659,1867499981.0
Guizhou,2048,0,4.741132659,1867499981.0
Guizhou,2053,0,4.741132659,1867499981.0
Guizhou,2058,0,4.741132659,1867499981.0
Hainan,2023,0,5.206466049,226564307.1
Hainan,2028,0,5.206466049,226564307.1
Hainan,2033,0,5.206466049,226564307.1
Hainan,2038,0,5.206466049,226564307.1
Hainan,2043,0,5.206466049,226564307.1
Hainan,2048,0,5.206466049,226564307.1
Hainan,2053,0,5.206466049,226564307.1
Hainan,2058,0,5.206466049,226564307.1
Hebei,2023,0,5.127447172,1638464789.0
Hebei,2028,0,5.127447172,1638464789.0
Hebei,2033,0,5.127447172,1638464789.0
Hebei,2038,0,5.127447172,1638464789.0
Hebei,2043,0,5.127447172,1638464789.0
Hebei,2048,0,5.127447172,1638464789.0
Hebei,2053,0,5.127447172,1638464789.0
Hebei,2058,0,5.127447172,1638464789.0
Heilongjiang,2023,0,5.07476792,1468512940.0
Heilongjiang,2028,0,5.07476792,1468512940.0
Heilongjiang,2033,0,5.07476792,1468512940.0
Heilongjiang,2038,0,5.07476792,1468512940.0
Heilongjiang,2043,0,5.07476792,1468512940.0
Heilongjiang,2048,0,5.07476792,1468512940.0
Heilongjiang,2053,0,5.07476792,1468512940.0
Heilongjiang,2058,0,5.07476792,1468512940.0
Henan,2023,0,4.978189292,2001590597.0
Henan,2028,0,4.978189292,2001590597.0
Henan,2033,0,4.978189292,2001590597.0
Henan,2038,0,4.978189292,2001590597.0
Henan,2043,0,4.978189292,2001590597.0
Henan,2048,0,4.978189292,2001590597.0
Henan,2053,0,4.978189292,2001590597.0
Henan,2058,0,4.978189292,2001590597.0
Hubei,2023,0,5.109887421,2138450988.0
Hubei,2028,0,5.109887421,2138450988.0
Hubei,2033,0,5.109887421,2138450988.0
Hubei,2038,0,5.109887421,2138450988.0
Hubei,2043,0,5.109887421,2138450988.0
Hubei,2048,0,5.109887421,2138450988.0
Hubei,2053,0,5.109887421,2138450988.0
Hubei,2058,0,5.109887421,2138450988.0
Hunan,2023,0,5.022088668,2083695864.0
Hunan,2028,0,5.022088668,2083695864.0
Hunan,2033,0,5.022088668,2083695864.0
Hunan,2038,0,5.022088668,2083695864.0
Hunan,2043,0,5.022088668,2083695864.0
Hunan,2048,0,5.022088668,2083695864.0
Hunan,2053,0,5.022088668,2083695864.0
Hunan,2058,0,5.022088668,2083695864.0
Jiangsu,2023,0,5.52254156,1164785441.0
Jiangsu,2028,0,5.52254156,1164785441.0
Jiangsu,2033,0,5.52254156,1164785441.0
Jiangsu,2038,0,5.52254156,1164785441.0
Jiangsu,2043,0,5.52254156,1164785441.0
Jiangsu,2048,0,5.52254156,1164785441.0
Jiangsu,2053,0,5.52254156,1164785441.0
Jiangsu,2058,0,5.52254156,1164785441.0
Jiangxi,2023,0,5.083547795,1675196785.0
Jiangxi,2028,0,5.083547795,1675196785.0
Jiangxi,2033,0,5.083547795,1675196785.0
Jiangxi,2038,0,5.083547795,1675196785.0
Jiangxi,2043,0,5.083547795,1675196785.0
Jiangxi,2048,0,5.083547795,1675196785.0
Jiangxi,2053,0,5.083547795,1675196785.0
Jiangxi,2058,0,5.083547795,1675196785.0
Jilin,2023,0,5.109887421,1266445953.0
Jilin,2028,0,5.109887421,1266445953.0
Jilin,2033,0,5.109887421,1266445953.0
Jilin,2038,0,5.109887421,1266445953.0
Jilin,2043,0,5.109887421,1266445953.0
Jilin,2048,0,5.109887421,1266445953.0
Jilin,2053,0,5.109887421,1266445953.0
Jilin,2058,0,5.109887421,1266445953.0
Liaoning,2023,0,5.206466049,1068833365.0
Liaoning,2028,0,5.206466049,1068833365.0
Liaoning,2033,0,5.206466049,1068833365.0
Liaoning,2038,0,5.206466049,1068833365.0
Liaoning,2043,0,5.206466049,1068833365.0
Liaoning,2048,0,5.206466049,1068833365.0
Liaoning,2053,0,5.206466049,1068833365.0
Liaoning,2058,0,5.206466049,1068833365.0
Ningxia,2023,0,4.820151536,242793979.1
Ningxia,2028,0,4.820151536,242793979.1
Ningxia,2033,0,4.820151536,242793979.1
Ningxia,2038,0,4.820151536,242793979.1
Ningxia,2043,0,4.820151536,242793979.1
Ningxia,2048,0,4.820151536,242793979.1
Ningxia,2053,0,4.820151536,242793979.1
Ningxia,2058,0,4.820151536,242793979.1
Qinghai,2023,0,4.916730165,85915745.97
Qinghai,2028,0,4.916730165,85915745.97
Qinghai,2033,0,4.916730165,85915745.97
Qinghai,2038,0,4.916730165,85915745.97
Qinghai,2043,0,4.916730165,85915745.97
Qinghai,2048,0,4.916730165,85915745.97
Qinghai,2053,0,4.916730165,85915745.97
Qinghai,2058,0,4.916730165,85915745.97
Shaanxi,2023,0,4.820151536,1460987147.0
Shaanxi,2028,0,4.820151536,1460987147.0
Shaanxi,2033,0,4.820151536,1460987147.0
Shaanxi,2038,0,4.820151536,1460987147.0
Shaanxi,2043,0,4.820151536,1460987147.0
Shaanxi,2048,0,4.820151536,1460987147.0
Shaanxi,2053,0,4.820151536,1460987147.0
Shaanxi,2058,0,4.820151536,1460987147.0
Shandong,2023,0,5.232805675,2013313456.0
Shandong,2028,0,5.232805675,2013313456.0
Shandong,2033,0,5.232805675,2013313456.0
Shandong,2038,0,5.232805675,2013313456.0
Shandong,2043,0,5.232805675,2013313456.0
Shandong,2048,0,5.232805675,2013313456.0
Shandong,2053,0,5.232805675,2013313456.0
Shandong,2058,0,5.232805675,2013313456.0
Shanghai,2023,0,5.575220812,76754654.03
Shanghai,2028,0,5.575220812,76754654.03
Shanghai,2033,0,5.575220812,76754654.03
Shanghai,2038,0,5.575220812,76754654.03
Shanghai,2043,0,5.575220812,76754654.03
Shanghai,2048,0,5.575220812,76754654.03
Shanghai,2053,0,5.575220812,76754654.03
Shanghai,2058,0,5.575220812,76754654.03
Shanxi,2023,0,5.083547795,1257930980.0
Shanxi,2028,0,5.083547795,1257930980.0
Shanxi,2033,0,5.083547795,1257930980.0
Shanxi,2038,0,5.083547795,1257930980.0
Shanxi,2043,0,5.083547795,1257930980.0
Shanxi,2048,0,5.083547795,1257930980.0
Shanxi,2053,0,5.083547795,1257930980.0
Shanxi,2058,0,5.083547795,1257930980.0
Sichuan,2023,0,4.960629541,2398068231.0
Sichuan,2028,0,4.960629541,2398068231.0
Sichuan,2033,0,4.960629541,2398068231.0
Sichuan,2038,0,4.960629541,2398068231.0
Sichuan,2043,0,4.960629541,2398068231.0
Sichuan,2048,0,4.960629541,2398068231.0
Sichuan,2053,0,4.960629541,2398068231.0
Sichuan,2058,0,4.960629541,2398068231.0
Tianjin,2023,0,5.706918941,122083131.8
Tianjin,2028,0,5.706918941,122083131.8
Tianjin,2033,0,5.706918941,122083131.8
Tianjin,2038,0,5.706918941,122083131.8
Tianjin,2043,0,5.706918941,122083131.8
Tianjin,2048,0,5.706918941,122083131.8
Tianjin,2053,0,5.706918941,122083131.8
Tianjin,2058,0,5.706918941,122083131.8
Tibet,2023,0,5.2240258,549345304.3
Tibet,2028,0,5.2240258,549345304.3
Tibet,2033,0,5.2240258,549345304.3
Tibet,2038,0,5.2240258,549345304.3
Tibet,2043,0,5.2240258,549345304.3
Tibet,2048,0,5.2240258,549345304.3
Tibet,2053,0,5.2240258,549345304.3
Tibet,2058,0,5.2240258,549345304.3
West_Inner_Mongolia,2023,0,5.013308793,823083374.4
West_Inner_Mongolia,2028,0,5.013308793,823083374.4
West_Inner_Mongolia,2033,0,5.013308793,823083374.4
West_Inner_Mongolia,2038,0,5.013308793,823083374.4
West_Inner_Mongolia,2043,0,5.013308793,823083374.4
West_Inner_Mongolia,2048,0,5.013308793,823083374.4
West_Inner_Mongolia,2053,0,5.013308793,823083374.4
West_Inner_Mongolia,2058,0,5.013308793,823083374.4
Xinjiang,2023,0,5.2240258,694959499.5
Xinjiang,2028,0,5.2240258,694959499.5
Xinjiang,2033,0,5.2240258,694959499.5
Xinjiang,2038,0,5.2240258,694959499.5
Xinjiang,2043,0,5.2240258,694959499.5
Xinjiang,2048,0,5.2240258,694959499.5
Xinjiang,2053,0,5.2240258,694959499.5
Xinjiang,2058,0,5.2240258,694959499.5
Yunnan,2023,0,4.793811911,3329622142.0
Yunnan,2028,0,4.793811911,3329622142.0
Yunnan,2033,0,4.793811911,3329622142.0
Yunnan,2038,0,4.793811911,3329622142.0
Yunnan,2043,0,4.793811911,3329622142.0
Yunnan,2048,0,4.793811911,3329622142.0
Yunnan,2053,0,4.793811911,3329622142.0
Yunnan,2058,0,4.793811911,3329622142.0
Zhejiang,2023,0,5.566440936,714500671.1
Zhejiang,2028,0,5.566440936,714500671.1
Zhejiang,2033,0,5.566440936,714500671.1
Zhejiang,2038,0,5.566440936,714500671.1
Zhejiang,2043,0,5.566440936,714500671.1
Zhejiang,2048,0,5.566440936,714500671.1
Zhejiang,2053,0,5.566440936,714500671.1
Zhejiang,2058,0,5.566440936,714500671.1
